Month,"Prc.
mm/m","Tmp. min.
℃","Tmp. max.
℃","Tmp. Mean
℃","Rel. Hum.
%","Sun shine
J m⁻² day⁻¹","Wind (2m)
m/s","ETo
mm/m",State
Jun,159,22.4,30.6,26.5,65.3,"16,780,288",1.8,114,Oyo
Jul,91,21.9,29,25.4,69.5,"15,188,822",2.1,106,Oyo
Aug,264,21.1,28.3,24.7,73.2,"13,706,057",2.1,97,Oyo
Sep,205,21.6,28.8,25.2,71.1,"14,171,698",1.8,96,Oyo
Oct,62,21.7,30.7,26.2,61.5,"16,709,302",1.5,116,Oyo
Nov,11,21.9,33.2,27.5,43.8,"19,373,722",1.5,133,Oyo
Dec,1,20.1,34.5,27.3,31.6,"19,821,240",1.8,152,Oyo
Jan,0,19,34.6,26.8,22,"21,594,376",1.8,162,Plateau
Feb,0,19,36.6,27.8,15.2,"23,673,588",1.8,164,Plateau
Mar,2,23.9,38.2,31,25.7,"23,953,774",1.7,190,Plateau
Apr,85,25.1,35.1,30.1,46.8,"20,900,730",1.7,158,Plateau
May,113,24.6,33.6,29.1,54.1,"20,218,870",1.5,148,Plateau
Jun,270,22.9,31.1,27,63.2,"17,543,743",1.5,119,Plateau
Jul,388,22.3,29.2,25.7,69.7,"15,234,472",1.5,105,Plateau
Aug,413,21.8,28.5,25.1,71.3,"14,415,369",1.6,100,Plateau
Sep,404,21.8,28.8,25.3,68.5,"15,263,558",1.5,101,Plateau
Oct,231,21.7,31.2,26.4,56.5,"19,484,287",1.5,132,Plateau
Nov,0,19.8,33.8,26.8,31.7,"21,616,212",1.8,153,Plateau
Dec,0,18.5,34.3,26.4,23.3,"21,187,890",1.8,159,Plateau
Jan,53,23.5,33.1,28.3,50.3,"18,072,870",1.8,133,Rivers
Feb,33,24.5,34,29.3,52.9,"18,685,272",1.8,128,Rivers
Mar,138,24.7,32.8,28.7,65.6,"17,584,228",1.9,128,Rivers
Apr,229,24.3,31.6,27.9,69.3,"15,798,072",1.7,110,Rivers
May,260,23.7,30.4,27.1,74,"14,691,107",1.5,102,Rivers
Jun,320,23,29,26,77.8,"13,356,165",1.5,88,Rivers
Jul,313,22.8,28.4,25.6,77,"13,177,833",1.9,90,Rivers
Aug,168,22.6,28.7,25.7,74.9,"14,676,973",2.3,101,Rivers
Sep,326,22.7,28.7,25.7,76.2,"13,722,575",1.9,92,Rivers
Oct,331,22.8,29.4,26.1,76.2,"13,970,761",1.6,95,Rivers
Nov,137,23.3,31.1,27.2,68.5,"16,374,069",1.7,108,Rivers
Dec,53,23.2,32.4,27.8,55.7,"17,847,018",1.7,127,Rivers
Jan,0,17.2,30,23.6,11,"20,835,022",3.9,213,Sokoto
Feb,0,19,33.3,26.1,8.2,"23,259,163",3.9,220,Sokoto
Mar,0,23.5,38.6,31.1,8,"24,790,267",3.2,254,Sokoto
Apr,1,26.2,40.3,33.2,19.4,"24,726,069",2.4,221,Sokoto
May,3,28.1,39.8,34,27,"24,054,419",2.4,223,Sokoto
Jun,54,26.3,36.3,31.3,42.6,"23,260,998",2.5,192,Sokoto
Jul,130,25.1,33.2,29.2,55.6,"20,923,554",2.6,166,Sokoto
Aug,313,23.5,30.4,26.9,66,"18,293,171",2.4,132,Sokoto
Sep,65,23.5,31.6,27.5,62.4,"19,732,174",2.1,136,Sokoto
Oct,4,22.7,34.9,28.8,33.7,"22,085,086",2.4,186,Sokoto
Nov,0,20.4,33.8,27.1,14.4,"21,458,174",3.2,200,Sokoto
Dec,0,19,31.8,25.4,12.7,"20,414,893",3.8,212,Sokoto
Jan,0,21.5,35.3,28.4,14.9,"22,373,707",3.4,226,Taraba
Feb,0,22.2,37.7,30,10.9,"24,062,827",3,215,Taraba
Mar,0,25.9,39.5,32.7,23.2,"24,028,025",2.6,224,Taraba
Apr,33,26.7,36.7,31.7,44.6,"21,082,163",3,191,Taraba
May,53,26.1,35,30.6,51.8,"21,005,982",2.6,175,Taraba
Jun,96,24.7,32.3,28.5,59.9,"17,791,769",2.3,134,Taraba
Jul,138,23.9,30.5,27.2,64.9,"15,800,257",2.5,123,Taraba
Aug,211,23.3,29.8,26.6,68.4,"15,069,119",2.4,114,Taraba
Sep,243,23.1,30.3,26.7,64.9,"16,058,617",2,114,Taraba
Oct,185,23.4,32.3,27.8,55.5,"18,718,455",1.9,137,Taraba
Nov,0,22.3,35.3,28.8,26.2,"21,605,166",2.2,173,Taraba
Dec,0,21.4,35.3,28.3,19.6,"21,299,315",3.1,206,Taraba
Jan,0,13.7,28,20.9,15.6,"21,609,552",3.3,182,Yobe
Feb,0,14.7,31,22.9,11.1,"23,886,292",3.3,191,Yobe
Mar,0,19.2,36.6,27.9,9.1,"25,818,308",3.2,246,Yobe
Apr,0,24.7,39.3,32,20.3,"25,251,803",2.8,230,Yobe
May,2,25.4,38.5,32,27.3,"24,725,035",2.6,224,Yobe
Jun,10,25.3,36.6,30.9,36.5,"23,649,015",2.9,204,Yobe
Jul,83,24.1,32.6,28.4,53.1,"21,074,209",2.9,170,Yobe
Aug,361,22.4,29.4,25.9,66.5,"17,370,115",2.6,126,Yobe
Sep,113,22.7,31.5,27.1,59.6,"21,106,716",2.2,143,Yobe
Oct,3,21.1,34.2,27.7,31.6,"22,295,866",2.7,188,Yobe
Nov,0,16.6,31.7,24.1,19.9,"21,786,472",3,182,Yobe
Dec,0,14.5,29,21.8,20.9,"20,911,761",3.2,175,Yobe
Jan,0,15,28.8,21.9,15.8,"21,121,503",3.7,195,Zamfara
Feb,0,16.6,31.9,24.2,11.3,"23,532,027",3.6,204,Zamfara
Mar,0,21.4,36.8,29.1,11.7,"25,236,374",3,237,Zamfara
Apr,3,24.9,37.9,31.4,26.7,"24,986,539",2.7,216,Zamfara
May,7,25.6,37.1,31.3,33.4,"24,291,918",2.6,213,Zamfara
Jun,90,24,33.7,28.8,49.9,"23,872,127",2.6,179,Zamfara
Jul,126,23.1,31.1,27.1,60.6,"20,509,747",2.8,152,Zamfara
Aug,232,21.8,28.8,25.3,68.6,"17,555,992",2.5,122,Zamfara
Sep,189,21.4,30.1,25.7,65.5,"20,041,952",2,130,Zamfara
Oct,17,20,32.3,26.2,42.2,"22,673,309",2.3,166,Zamfara
Nov,0,17.8,31.8,24.8,20.5,"21,883,547",3,181,Zamfara
Dec,0,16,29.9,23,17.9,"20,573,619",3.6,190,Zamfara
